Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,TD,Y/A,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
1,1,2,2,2013-09-15,KAN,,DAL,W 17-16,,0,0,0,,0,,,0,0,0,,0,0,,0,0,,,,,,,0.0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0.0,1,3.6
2,2,1,1,2014-09-07,KAN,,TEN,L 10-26,,5,3,49,16.3,0,60.0,9.8,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,18,31.6,0,0.0,3,9.1
3,3,2,2,2014-09-14,KAN,@,DEN,L 17-24,,6,4,81,20.3,0,66.7,13.5,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,32,37.2,0,0.0,4,18.2
4,4,3,3,2014-09-21,KAN,@,MIA,W 34-15,*,4,3,36,12.0,1,75.0,9.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,47,65.3,0,0.0,4,13.3
5,5,4,4,2014-09-29,KAN,,NWE,W 41-14,*,9,8,93,11.6,1,88.9,10.3,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,35,52.2,0,0.0,7,24.1
6,6,5,5,2014-10-05,KAN,@,SFO,L 17-22,*,3,2,15,7.5,1,66.7,5.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,29,58.0,0,0.0,3,11.1
7,7,6,7,2014-10-19,KAN,@,SDG,W 23-20,,4,4,33,8.3,0,100.0,8.3,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,39,52.7,0,0.0,5,17.2
8,8,7,8,2014-10-26,KAN,,STL,W 34-7,*,6,4,45,11.3,0,66.7,7.5,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,57.6,0,0.0,6,22.2
9,9,8,9,2014-11-02,KAN,,NYJ,W 24-10,*,5,4,67,16.8,1,80.0,13.4,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,30,51.7,0,0.0,4,20.0
10,10,9,10,2014-11-09,KAN,@,BUF,W 17-13,,2,2,19,9.5,0,100.0,9.5,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,40,66.7,0,0.0,3,10.7
11,11,10,11,2014-11-16,KAN,,SEA,W 24-20,*,5,3,37,12.3,0,60.0,7.4,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,46,95.8,0,0.0,4,19.0
